Location,AADT (2018)
"35.371182, -86.219957",19549
"35.486026, -86.090628",13496
"35.52278, -86.023162",11172
"35.383146, -86.233479",10733
"35.703764, -89.033918",15714
"35.720409, -89.059564",15896
"35.735343, -89.076561",15566
"35.82907, -89.177948",13690
"35.86509, -89.210168",10407
"35.769604, -89.121478",11670
"35.787207, -89.150627",10118
"35.960164, -85.051732",11322
"36.039373, -85.109179",37355
"35.991873, -85.028932",35627
"35.974053, -85.000652",38830
"35.921461, -84.910017",29196
"35.899948, -84.79351",34786
"35.95212, -85.028803",15655
"35.951785, -85.033357",10571
"35.96614, -84.979663",15069
"35.960991, -85.039339",13603
"35.897887, -84.718528",34511
"35.974728, -85.038239",21880
"35.91343, -85.055959",12822
"35.992558, -84.940806",13276
"35.911407, -84.991595",10343
"35.945019, -85.036417",13020
"35.959228, -85.041255",17831
"35.958487, -85.033391",21149
"35.959638, -84.984599",12250
"36.009459, -85.044443",13353
"35.941492, -85.033056",12001
"35.943175, -85.034523",13509
"35.954985, -85.030724",15881
"36.065391, -85.187658",36514
"35.933923, -85.036599",15435
"36.387809, -86.757874",20589
"36.358267, -86.725259",21275
"36.339774, -86.87153",11550
"36.279299, -86.784654",12411
"36.274641, -86.752865",20705
"36.267167, -86.745274",18695
"36.303585, -86.702133",28976
"36.299444, -86.696975",35512
"36.266865, -86.669558",29554
"36.260717, -86.712749",29106
"36.255855, -86.710123",13290
"36.248097, -86.721734",12641
"36.241498, -86.723329",35100
"36.207371, -86.936705",14703
"36.206678, -86.840062",17981
"36.201186, -86.822385",19653
"36.206106, -86.77162",28354
"36.201118, -86.769632",15725
"36.204482, -86.747642",18275
"36.208396, -86.734917",26456
"36.167488, -86.776154",13651
"36.230757, -86.609428",13398
"36.216472, -86.584253",30595
"36.211315, -86.622961",24818
"36.185207, -86.773624",18466
"36.179107, -86.795293",19307
"36.190223, -86.825381",39933
"36.150945, -86.854508",26115
"36.146794, -86.857995",31237
"36.113886, -86.92298",14817
"36.122862, -86.845687",12588
"36.130052, -86.83842",34559
"36.13981, -86.824022",13092
"36.151517, -86.79904",32530
"36.151527, -86.795928",15624
"36.155386, -86.784441",14043
"36.157625, -86.785075",26755
"36.169226, -86.788782",16999
"36.176024, -86.780437",33093
"36.168537, -86.776514",28525
"36.153422, -86.748924",13757
"36.150632, -86.742938",14368
"36.168898, -86.667901",33482
"36.173914, -86.647599",34802
"36.162966, -86.648473",14263
"36.162911, -86.663964",16242
"36.151506, -86.674589",15917
"36.146776, -86.756307",18454
"36.138305, -86.760854",10931
"36.129518, -86.778174",22345
"36.13266, -86.757657",27363
"36.125936, -86.712493",11174
"36.108186, -86.677812",33006
"36.108561, -86.744018",38138
"36.110827, -86.743518",37723
"36.112516, -86.746061",29622
"36.111181, -86.74918",29679
"36.112227, -86.769271",23752
"36.111171, -86.773318",21765
"36.124945, -86.805859",33444
"36.103982, -86.815431",24741
"36.091449, -86.831456",11352
"36.101124, -86.870706",33492
"36.097641, -86.875021",16491
"36.091053, -86.878519",12974
"36.050109, -86.873327",18287
"36.052282, -86.858665",12179
"36.045076, -86.851857",16406
"36.045555, -86.864207",14761
"36.045147, -86.780569",14713
"36.08125, -86.772569",16571
"36.059392, -86.741306",20747
"36.05042, -86.713903",37437
"36.045672, -86.709671",37690
"36.039043, -86.7129",27557
"36.085902, -86.648119",33965
"36.327521, -86.699465",23510
"36.193085, -86.744159",27201
"36.173322, -86.764053",27057
"36.173596, -86.774033",11284
"36.159011, -86.772403",12164
"36.152957, -86.774592",13327
"36.151237, -86.779187",21200
"36.156179, -86.780349",19512
"36.159627, -86.780429",13979
"36.161066, -86.783482",15241
"36.140858, -86.800284",22008
"36.05762, -86.641758",25550
"36.262228, -86.676779",29992
"36.168161, -86.78597",19433
"36.166463, -86.787254",27602
"36.160027, -86.787327",22618
"36.091834, -86.735413",31310
"36.229134, -86.593437",11740
"36.122674, -86.85074",31575
"36.181746, -86.811806",11945
"36.18013, -86.807771",10010
"36.120868, -86.917027",13609
"36.073757, -86.930188",23222
"36.087171, -86.893056",18672
"36.162477, -86.789675",25616
"36.134119, -86.889513",21741
"36.086335, -86.770279",27216
"36.078542, -86.729343",32981
"36.206915, -86.781974",20330
"36.213849, -86.779219",15560
"36.264255, -86.733659",32020
"36.227961, -86.759552",16980
"36.106114, -86.772834",18035
"36.263656, -86.70338",19915
"36.337983, -86.717535",20714
"36.30943, -86.672609",25852
"35.989687, -86.682073",16688
"36.034924, -86.787813",28459
"36.039701, -86.816433",11954
"36.012724, -87.045171",11647
"36.09517, -87.036148",10498
"36.221768, -86.970561",14140
"36.387405, -86.897982",11010
"36.304212, -86.719388",13327
"36.293786, -86.701909",18280
"36.248444, -86.756901",23454
"36.080934, -86.715958",38938
"36.086757, -86.69475",37708
"36.181853, -86.749205",26866
"36.168924, -86.758834",19716
"36.156819, -86.618275",13686
"36.229233, -86.780869",38385
"36.017527, -86.619765",20469
"36.109147, -86.726446",37234
"36.143378, -86.666639",39223
"36.14558, -86.744042",22913
