Location,AADT (2018)
"35.993501, -83.94898",14897
"36.056924, -83.985424",29331
"35.947285, -84.013204",21049
"35.956698, -84.00112",27906
"35.937331, -84.002987",29191
"35.988837, -83.896071",15618
"35.966288, -83.982353",22301
"35.913404, -84.087388",21059
"35.9654, -83.941889",15689
"35.937111, -84.037511",12196
"36.0283, -83.948727",11265
"36.004192, -83.874623",10214
"35.959354, -83.933999",11863
"35.961986, -83.897324",20679
"35.860636, -84.13428",13682
"35.866238, -84.197164",23637
"35.979301, -84.171698",10957
"36.071764, -83.773202",13249
"35.94131, -84.040881",20492
"35.909815, -84.080119",16561
"35.936799, -83.982768",11819
"35.969706, -83.915154",10510
"35.986792, -83.993106",10504
"36.012315, -83.969413",19003
"35.993369, -83.92203",10703
"36.033666, -83.887562",20566
"36.033471, -83.869654",20914
"36.014886, -83.83038",35762
"35.965761, -83.921907",11485
"36.021105, -84.00383",26487
"35.9562, -83.933289",16020
"35.943868, -83.94011",17710
"35.965224, -83.924883",16096
"35.965185, -83.925249",13471
"35.922213, -84.065224",12023
"35.919924, -84.059033",10726
"35.925336, -84.034213",14297
"35.92882, -84.036358",13024
"35.937221, -84.009915",16286
"35.893113, -84.176206",16634
"36.012248, -84.016665",25115
"35.878284, -84.156613",11705
"35.865934, -84.143744",10070
"36.053378, -83.875798",11545
"36.043002, -83.991551",10343
"36.056855, -83.971305",10804
"36.084242, -83.932663",14250
"35.923815, -84.058974",19798
"35.898455, -84.167068",22777
"35.906127, -84.134337",14756
"35.977844, -83.916642",13915
"35.885325, -83.891805",18051
"35.925101, -84.072301",10228
"35.923086, -84.050895",10448
"35.924306, -84.061145",27847
"35.919967, -84.090332",10548
"36.021788, -83.924503",17144
"35.926, -84.041919",16544
"36.056815, -83.924118",33769
"35.757878, -89.548765",19547
"35.704299, -89.569728",12301
"35.67072, -89.588011",10942
"35.743682, -89.554792",13415
"35.42057, -87.282133",10647
"35.316245, -87.297199",13540
"35.242685, -87.352721",10641
"35.273317, -87.318817",21055
"35.226139, -87.335475",16080
"35.088427, -87.427347",10072
"35.24309, -87.338334",10547
"35.247512, -87.327449",21189
"35.16819, -87.346447",13052
"35.283105, -87.31432",16003
"35.205075, -87.339491",13292
"35.257001, -87.326723",18737
"35.547717, -87.550454",10583
"35.139616, -86.567677",30849
"35.108948, -86.566307",17483
"34.991387, -86.571556",12491
"34.99192, -86.83381",10060
"35.160906, -86.554322",13519
"35.143967, -86.567976",14940
"35.067453, -86.572454",14397
"35.157571, -86.554711",14189
"35.140611, -86.57253",10968
"35.838478, -84.295083",11486
"35.860918, -84.224334",18245
"35.853498, -84.225234",11026
"35.645496, -84.142132",15076
"35.792779, -84.243359",19565
"35.825949, -84.275541",29009
"35.832049, -84.285066",16184
"35.743397, -84.328314",12218
"35.807371, -84.262545",25238
"35.795495, -84.258987",14132
"35.755862, -84.319056",12689
"35.750011, -84.215566",12531
"35.729896, -84.383248",13112
"35.718658, -84.359318",12641
"35.736563, -84.179884",13696
"35.783453, -84.250195",10131
"35.479149, -84.593615",13532
"35.459383, -84.636237",20090
"35.404878, -84.578723",10983
"35.333322, -84.520305",12700
"35.435384, -84.588475",21968
"35.456896, -84.617067",15568
"35.449052, -84.615848",22896
"35.448917, -84.598959",17527
"35.448386, -84.594642",11732
"35.438228, -84.676792",38866
"35.488609, -84.625579",39376
"35.530587, -84.583771",39878
"35.5732, -84.539924",39241
"35.443401, -84.590506",10353
"35.442018, -84.590512",13607
"35.477195, -84.588875",10665
"35.441058, -84.610554",14585
"35.469099, -84.654581",10957
"35.15091, -88.576157",16916
"35.092718, -88.552259",13058
"35.168534, -88.590206",13021
"35.159347, -88.576876",10496
"35.161058, -88.582045",11003
"35.180496, -88.614955",10663
"35.200653, -88.616043",10019
"35.066405, -88.541507",11219
"36.526529, -86.044442",13671
"36.520537, -86.036426",15466
"36.517519, -86.028716",11727
"36.52892, -86.055558",12209
"36.517772, -86.022608",12358
"35.768911, -88.832287",15587
"35.758095, -88.844264",31220
"35.61848, -88.858636",10830
"35.636269, -88.847468",15180
"35.642707, -88.828473",25860
"35.707517, -88.629343",11480
"35.597315, -88.813887",34930
"35.560026, -88.81314",28977
"35.542511, -88.797074",19339
"35.484156, -88.710717",16578
"35.494848, -88.726925",17510
"35.615926, -88.819107",12980
"35.633123, -88.818609",18956
"35.668322, -88.916626",14967
"35.606302, -88.816083",26709
"35.636778, -88.936144",35535
"35.722721, -88.618927",35379
"35.622061, -88.841509",26100
"35.672971, -88.830067",32789
"35.651832, -88.868495",18854
"35.613708, -88.840617",18810
"35.666424, -88.854691",33220
"35.725995, -88.85164",25026
"35.719336, -88.839783",12830
"35.669906, -88.829605",35440
"35.617729, -88.844688",12907
"35.612401, -88.822684",22107
"35.629675, -88.960471",35117
"35.667211, -88.830932",14611
"35.689791, -88.865346",14869
"35.649098, -88.808967",13831
"35.651284, -88.833807",12289
"35.667458, -88.819216",10851
"35.629889, -88.786355",13750
"35.616734, -88.797443",11651
"35.648564, -88.789408",13637
"35.612214, -88.808554",17198
"35.659214, -88.878658",24328
"35.692557, -88.829888",23407
"35.677361, -88.745964",10227
"35.660373, -88.852509",10651
"35.641676, -88.78811",14211
"35.665015, -88.781426",17986
"35.612609, -88.817821",14530
"35.652305, -88.828841",19500
"35.669053, -88.849551",13413
"35.696491, -88.869214",11603
"35.697956, -88.855207",28751
"35.649854, -88.85165",33436
"35.6647, -88.828858",27239
"35.689527, -88.84612",14365
"35.703239, -88.830719",16690
"35.072543, -85.632772",10829
"35.043537, -85.683876",10400
"35.035505, -85.692761",21308
"35.042335, -85.696794",33986
"35.23429, -85.835208",37888
"34.987117, -85.718877",12670
"35.04216, -85.688484",17097
"35.450756, -86.803843",11688
"35.470485, -86.795351",12570
"35.478473, -86.806498",10981
"35.456384, -86.779102",16211
"35.432492, -86.880097",26521
"35.321894, -86.881695",27210
"35.447753, -86.775552",14575
"35.464062, -86.778139",10473
"35.46177, -86.781657",12514
"35.462898, -86.784803",17362
"35.742713, -86.94096",25622
"35.755156, -86.926178",16546
"35.632793, -86.823734",10153
"35.613202, -87.056546",11491
"35.586281, -87.041498",12159
"35.636175, -87.003413",16449
"35.63131, -87.022636",26893
"35.444132, -87.277149",13836
"35.612648, -86.900341",29710
"35.508619, -86.894663",27567
"35.598258, -87.059529",29337
"35.589935, -87.045821",26225
"35.588614, -87.035508",18763
"35.615604, -87.041265",15090
"35.598199, -87.076104",21170
"35.609739, -87.034756",19602
"35.616905, -87.035239",25241
"35.613523, -87.067081",19254
"35.722582, -86.924379",11844
"35.69948, -86.982656",36823
"35.492529, -87.235074",14279
"35.591666, -87.040339",18138
"35.55481, -87.199441",14706
"35.524639, -87.222333",13863
"35.621679, -87.034192",26560
"35.61862, -87.073658",11555
"35.590227, -87.096747",14095
"35.636124, -86.964721",14859
"35.514092, -87.223162",14035
"35.628215, -87.065832",12685
"35.621823, -87.117149",17932
"35.613953, -87.120246",15229
"35.732014, -86.915907",29970
"35.568327, -87.166347",14745
"35.630498, -87.058593",24376
"35.636759, -87.022121",19450
"35.736024, -86.886185",39938
"35.733433, -86.940576",23164
"35.621849, -87.067238",16501
"35.581555, -87.114758",10702
"35.732991, -86.894231",14153
"35.626637, -87.076281",22061
"35.573283, -84.464194",10623
"35.514977, -84.413969",10767
"35.532418, -84.339778",15962
"35.589512, -84.473749",15057
"35.520205, -84.35499",17546
"35.510807, -84.366406",17321
"35.498388, -84.364923",12091
"35.513775, -84.374566",11106
"35.510384, -84.372308",10937
"35.597475, -84.50301",13688
"35.585842, -84.273719",13670
"35.57363, -84.279246",14069
"35.473634, -84.368621",10158
"35.595734, -84.226081",14977
"36.626687, -87.330169",27289
"36.63267, -87.420678",24350
"36.550562, -87.407724",17198
"36.550502, -87.384208",38404
"36.557757, -87.38129",12238
"36.549694, -87.330208",35285
"36.575569, -87.315055",10515
"36.524403, -87.226335",22830
"36.512603, -87.289899",20830
"36.522405, -87.288484",13932
"36.515645, -87.321135",19904
"36.506768, -87.36839",30915
"36.453075, -87.374644",14100
"36.504081, -87.353856",20358
"36.51563, -87.365353",32380
"36.535181, -87.367079",30530
"36.541509, -87.345175",16896
"36.503949, -87.279723",18401
"36.500687, -87.23939",11299
"36.513499, -87.27895",12837
"36.639488, -87.436231",31678
"36.534534, -87.342273",20757
"36.532576, -87.360358",13653
"36.526737, -87.349497",13863
"36.483645, -87.373637",21179
"36.568598, -87.40452",31225
"36.600809, -87.422327",39109
"36.507587, -87.268647",19545
"36.608499, -87.319353",17664
"36.595157, -87.287523",38767
"36.542057, -87.36127",15050
"36.540977, -87.288325",20703
"36.63595, -87.332067",39965
"36.515122, -87.265842",23378
"36.59984, -87.381171",19677
"36.531156, -87.354751",20510
"36.526951, -87.352347",12314
"36.551335, -87.320368",11686
"36.559941, -87.278049",11911
"36.556621, -87.288642",14817
"36.501362, -87.30666",19670
"36.62935, -87.37653",28626
"36.57191, -87.296737",25151
"36.53106, -87.353642",12297
"36.573469, -87.309297",27366
"36.587269, -87.40336",37605
"36.580976, -87.354175",36612
"36.58117, -87.4242",19422
"36.582339, -87.440458",13824
"36.575743, -87.445667",11170
"36.551952, -87.488317",11262
"36.048443, -84.356641",10050
"36.415447, -89.06569",20429
"36.412768, -89.034504",11395
"36.332294, -89.165308",10879
"36.340547, -89.155387",14217
"36.409231, -89.081352",14400
"36.413521, -89.044606",16274
"36.414873, -89.062005",22144
"36.422193, -89.067971",13410
"36.433019, -89.067177",11726
"36.383021, -89.109451",14199
"36.234407, -89.215107",11074
"36.415538, -89.070797",28098
"36.39064, -85.333466",12462
"36.376914, -85.336975",23369
"36.34795, -85.345778",14130
"36.258339, -85.392435",15663
"36.380113, -85.33071",12341
"36.370609, -85.340904",19248
"35.128425, -84.723205",19645
"35.136069, -84.712197",10344
"36.176024, -85.482418",16714
"36.155413, -85.482073",12788
"36.151105, -85.50069",19220
"36.145959, -85.511098",10138
"36.144207, -85.523669",23726
"36.136793, -85.565311",38904
"36.13629, -85.640502",36753
"36.098923, -85.709507",36054
"36.10821, -85.768797",32708
"36.139695, -85.433745",31383
"36.16203, -85.503592",11158
"36.158864, -85.500433",13618
"36.174438, -85.497032",15595
"36.18208, -85.459892",13880
"36.13162, -85.504339",14120
"36.140156, -85.27313",28541
"36.134736, -85.472547",32502
"36.141557, -85.477878",21313
"36.128839, -85.481026",18087
"36.16328, -85.51277",22610
"36.178392, -85.510746",15720
"36.17952, -85.510024",14085
"36.142255, -85.501106",22436
"36.169724, -85.462209",25311
"36.17779, -85.46631",16919
"36.194029, -85.461283",22578
"36.206379, -85.45046",18678
"36.153891, -85.505097",11952
"36.133529, -85.530411",14790
"36.180201, -85.51503",11134
"36.138434, -85.522713",14807
"36.126083, -85.539957",10626
"36.178427, -85.499936",10149
"36.215654, -85.418341",16689
"36.137932, -85.497882",15679
"36.171485, -85.543817",10197
"36.164988, -85.528081",10682
"36.154899, -85.516871",15881
"36.178996, -85.496908",12831
"36.162868, -85.499167",12442
"36.14052, -85.601357",36999
"36.090772, -85.505567",19880
"35.511235, -84.998594",20491
"35.4823, -85.022472",19343
"35.489167, -85.012004",22113
"35.498059, -85.00618",15430
"35.472113, -85.033139",21655
"35.592455, -84.929295",11359
"35.46702, -85.038712",16746
"35.528235, -84.985189",16407
"35.877888, -84.523686",14262
"35.869799, -84.513122",11181
"35.880265, -84.562955",13261
"35.898035, -84.605915",16674
"35.878179, -84.669395",12807
"35.916708, -84.575871",12297
"35.937361, -84.547412",12082
"35.958236, -84.362109",11486
"35.940689, -84.366788",12641
"35.879025, -84.432544",10290
"35.90924, -84.579473",39648
"35.898567, -84.545878",10174
"35.877782, -84.511131",12998
"35.870991, -84.679974",14245
"35.862653, -84.690621",10225
"35.915381, -84.562732",11785
"35.927467, -84.557917",15601
"35.867037, -84.685016",12689
"35.89372, -84.545359",12370
"35.907382, -84.615301",33836
"36.590442, -86.595345",11265
"36.512195, -86.881897",14301
"36.469615, -86.67227",18695
"36.509184, -86.865895",10410
"36.492712, -86.874937",21907
"36.405243, -86.782377",18305
"36.531075, -86.883293",10577
"36.502584, -86.881474",29978
"36.508739, -86.879219",10191
"36.450074, -86.820366",14788
"36.485848, -86.884199",14102
"36.478414, -86.855882",16082
"36.501524, -86.882802",12273
"36.469345, -86.697623",10561
"36.502102, -86.892315",11896
"36.434054, -86.898996",10810
"36.448749, -86.898524",13471
"36.396215, -86.766639",20622
"36.468478, -86.660459",10249
"36.025017, -86.586872",31674
"36.011454, -86.594219",31197
"36.016273, -86.561277",27199
"36.00916, -86.56925",10773
"35.977204, -86.555641",13275
"35.95556, -86.521687",10135
"35.963487, -86.502361",20143
"35.991195, -86.493275",23273
"36.014656, -86.494308",10453
"35.995872, -86.491061",16591
"35.932374, -86.379372",16134
"35.909492, -86.37342",11335
"35.9232, -86.302474",11075
"35.859401, -86.368401",13316
"35.83689, -86.36695",19040
"35.81974, -86.395426",33985
"35.786621, -86.413642",13650
"35.865182, -86.388855",33043
"35.827169, -86.387803",21356
"35.829125, -86.406679",23323
"35.848509, -86.371421",12716
"35.841717, -86.372598",14093
"35.860711, -86.37748",25082
"35.854187, -86.395815",34875
"35.832453, -86.37595",20660
"35.837866, -86.385787",27782
"35.835338, -86.39302",21691
"35.843953, -86.394023",37256
"35.853342, -86.401852",28329
"35.927849, -86.534378",20031
"35.875679, -86.385157",28160
"35.996784, -86.523569",28090
"35.996287, -86.496022",28240
"35.987806, -86.523644",24188
"35.975436, -86.515121",10630
"35.840013, -86.40855",22617
"35.994083, -86.535516",30226
"35.990214, -86.597376",10690
"35.845302, -86.446236",27268
"35.884054, -86.422419",24184
"35.999492, -86.496712",13335
"35.906903, -86.413228",13612
"35.826534, -86.414949",32402
"35.806201, -86.399951",11133
"35.9657, -86.494944",22210
"35.846273, -86.414469",39452
"35.983093, -86.493314",23083
"35.97375, -86.496245",12461
"35.871817, -86.391272",19150
"35.867169, -86.385161",24781
"35.788091, -86.436781",10738
"35.872746, -86.411324",21079
"35.957535, -86.503352",23373
"35.955875, -86.516624",13745
"35.949094, -86.520527",23707
"35.999853, -86.452148",14604
"35.998275, -86.504173",22900
"35.761005, -86.403347",35478
"35.903642, -86.383645",25807
"35.787114, -86.353661",10667
"35.867365, -86.412817",27796
"35.7827, -86.401037",38782
"35.843935, -86.477021",16933
"35.813246, -86.364004",27748
"35.815445, -86.382745",20352
"35.848086, -86.430359",22306
"35.855813, -86.370259",26955
"35.861834, -86.391679",10116
"35.855658, -86.399919",16926
"36.01121, -86.543909",13133
"35.860096, -86.352628",22206
"35.844923, -86.352437",25824
"35.831272, -86.350169",25543
"35.810265, -86.209909",14453
"35.816018, -86.371999",10711
"35.83766, -86.356615",15144
"35.82807, -86.298743",16319
"35.839804, -86.440825",15047
"36.020723, -86.427832",38199
"35.963468, -86.447594",32312
"35.912583, -86.441303",35005
"35.888781, -86.375644",15740
"35.854782, -86.368783",18676
"35.837092, -86.379916",17307
"35.843491, -86.414833",11732
"35.863377, -86.531085",37130
"35.93748, -86.479574",31984
"35.867143, -86.455156",38334
"35.857678, -86.43503",26902
"35.848214, -86.470466",11613
"35.972871, -86.486932",18342
"35.874135, -86.353343",15068
"35.864614, -86.50967",13459
"35.81203, -86.45236",16645
"35.777984, -86.380098",10272
"35.911565, -86.395198",15261
"35.912557, -86.405245",14356
"35.705191, -86.418609",23618
"36.520616, -84.501308",11003
"36.482659, -84.535801",14068
"36.413328, -84.537838",12680
"36.50026, -84.515901",13803
"36.50712, -84.513737",18610
"35.35819, -85.397963",10348
"35.387945, -85.378252",15890
"35.362675, -85.394506",14359
"35.393188, -85.3673",10827
"35.381868, -85.330444",11058
"35.873784, -83.751671",11760
"35.882331, -83.78612",23099
"35.866702, -83.764322",10607
"35.865525, -83.748777",18200
"35.874572, -83.584287",16297
"35.858345, -83.54352",22075
"35.84869, -83.495216",11658
"35.79311, -83.54486",26610
"35.803095, -83.582703",29153
"35.774965, -83.621214",12138
"35.721257, -83.497748",16994
"35.866719, -83.556122",39710
"35.867159, -83.563437",13071
"35.868695, -83.564626",20676
"35.727952, -83.460486",12878
"35.973663, -83.603401",36107
"35.885654, -83.451995",13512
"35.875902, -83.485943",16064
"35.863725, -83.523733",29537
"35.865847, -83.567462",27891
"35.850686, -83.690991",15717
"35.843993, -83.540065",21903
"35.726658, -83.511388",32297
"35.82014, -83.538332",25320
"35.863804, -83.53978",33744
"35.864938, -83.507455",22547
"35.796662, -83.558363",18030
"35.809517, -83.574765",10336
"35.792096, -83.552084",17970
"35.685851, -83.535929",10923
"35.871309, -83.561931",31734
"35.360696, -89.891794",24432
"35.332768, -89.898318",20830
"35.33562, -89.916202",31825
"35.301119, -89.952937",19348
"35.290733, -89.840082",12335
"35.290021, -89.683878",13820
"35.222913, -89.792068",20126
"35.209944, -89.829908",16078
"35.20394, -89.81991",33707
"35.193416, -89.846643",20028
"35.204718, -89.842397",32344
"35.228524, -89.84375",10756
"35.233729, -90.00976",11415
"35.192961, -90.035121",12383
"35.179138, -90.008325",11330
"35.223136, -89.943285",16066
"35.215118, -89.925553",25744
"35.212199, -89.918018",38788
"35.207067, -89.901304",24900
"35.199227, -89.909726",26315
"35.20061, -89.923177",14225
"35.169188, -89.865438",34167
"35.210138, -89.661263",20850
"35.146852, -89.888226",18275
"35.148867, -89.917347",28587
"35.075385, -90.057825",34556
"35.061839, -90.037282",11434
"35.04915, -90.025053",31407
"35.060877, -90.000946",19426
"35.087157, -89.987814",25589
"35.084031, -89.959982",31819
"35.075767, -89.931593",36697
"35.086145, -89.896145",20116
"35.09586, -89.818903",34041
"35.04495, -89.646117",16378
"35.02953, -89.666528",10176
"35.046402, -89.701047",26274
"35.066308, -89.731685",33445
"35.020533, -89.791029",17850
"35.000292, -89.795446",24975
"35.020339, -89.876756",29208
"35.020546, -89.909376",38106
"35.05136, -89.915995",37848
"35.021919, -89.989819",24123
"35.001547, -90.025303",11735
"35.029395, -90.079108",17250
"35.014444, -90.094176",12770
"35.000713, -90.115633",14538
"35.155844, -90.041751",13630
"35.124589, -90.057231",14464
"35.124486, -90.053002",14007
"35.131857, -90.030405",20459
"35.130987, -90.024947",27787
"35.131165, -90.020842",12242
"35.128102, -90.019939",24535
"35.137412, -90.021567",30837
"35.103756, -89.983201",24889
"35.133614, -89.985152",36228
"35.13724, -89.98302",33732
"35.145421, -89.982191",35442
"35.139234, -89.979556",24816
"35.150837, -89.980152",16133
"35.158441, -89.982307",23315
"35.157895, -89.97907",22735
"35.140558, -90.043655",13434
"35.127209, -89.942614",26660
"35.126856, -90.021166",20184
"35.240985, -90.009845",24917
"35.160519, -89.880391",35534
"35.093117, -90.018201",14508
"35.072145, -90.020965",13340
"35.074873, -89.906099",21717
"35.081511, -89.889997",32742
"35.052806, -89.907743",32900
"35.143252, -90.056613",13328
"35.133417, -89.980998",25661
"35.154697, -89.980688",14400
"35.131288, -89.9167",27724
"35.119842, -89.984314",22920
"35.136075, -89.963998",16472
"35.110643, -89.984814",26656
"35.035313, -90.038131",15936
"35.035559, -90.015923",18303
"35.020917, -90.016147",30208
"35.020829, -90.053836",18710
"35.163129, -89.854492",23869
"35.082953, -90.057142",21921
"35.268476, -89.666875",12667
"35.216018, -89.734461",13205
"35.14545, -90.05366",10318
"35.070141, -89.945331",37234
"35.265224, -89.929424",15342
"35.25388, -89.751858",11720
"35.129598, -89.737856",15943
"35.071841, -89.766736",30112
"35.048529, -89.798775",32996
"35.020392, -89.802567",25281
"35.020501, -89.923108",20464
"35.162207, -89.924266",13062
"35.173213, -89.992164",10514
"35.14933, -89.950238",26070
"35.343169, -89.908099",24224
"35.150128, -90.042146",16808
"35.187422, -89.835957",38112
"35.062996, -89.836075",13191
"35.054756, -90.042583",16129
"35.053527, -89.999954",21502
"35.04957, -89.92341",35758
"35.050753, -89.894778",33321
"35.100018, -89.849488",37296
"35.154106, -90.018414",16902
"35.15113, -89.983042",29526
"35.145446, -89.944627",22510
"35.142303, -89.928237",12704
"35.141947, -89.908092",22522
"35.14804, -89.949076",39733
"35.153051, -90.057544",37308
"35.221666, -89.906572",17416
"35.152098, -89.889624",27374
"35.05252, -89.886114",24710
"35.173057, -89.89842",38790
"35.066081, -89.989262",14291
"35.006058, -89.942284",12510
"34.995012, -89.936738",12098
"35.143519, -90.010697",22114
"35.061571, -89.988538",39201
"35.188632, -89.975806",18867
"35.174846, -89.865586",20291
"35.039337, -89.936807",19766
"35.011962, -89.936895",28354
"35.165422, -89.90555",24479
"35.183706, -89.93235",27689
"35.198347, -89.958575",15991
"35.196856, -89.975772",28571
"35.194921, -90.00796",22130
"35.197155, -90.024187",21941
"35.204635, -90.033657",29479
"35.07749, -90.0629",13511
"35.231885, -89.898409",25157
"35.160911, -89.837027",14405
"35.153054, -89.846059",10029
"35.142991, -89.812478",12427
"35.1384, -90.010996",11550
"35.107791, -89.959023",15553
"35.117975, -89.887885",21082
"35.10703, -89.912922",25903
"35.097655, -89.906739",14206
"35.090687, -89.931113",28515
"35.086416, -90.049229",12553
"35.069048, -89.970794",19350
"35.05414, -89.928999",39810
"35.046995, -89.989784",33342
"35.027872, -90.070044",12245
"35.023926, -90.007588",18314
"35.1089, -90.001706",13681
"35.199092, -89.946806",15413
"35.220483, -89.920927",18688
"35.179786, -89.871447",25728
"35.139314, -89.999491",12543
"35.117948, -89.925971",27416
"35.115842, -89.978192",10196
"35.000248, -89.989906",22568
"35.042495, -89.908858",23215
"35.088579, -89.840247",28934
"35.11004, -89.841292",23805
"35.093089, -89.911388",10805
"35.092166, -89.858602",22083
"35.088058, -89.863583",18007
"35.062715, -89.865871",31846
"35.330634, -89.912136",10315
"35.32452, -89.882344",20669
"35.2714, -89.887712",15042
"35.21798, -89.89422",22785
"35.247287, -89.927217",12099
"35.054918, -89.950934",13257
"35.09145, -89.949453",13834
"35.173732, -89.882349",12559
"35.233835, -89.893699",18859
"35.204297, -89.894785",28236
"35.224264, -89.993301",10494
"35.030408, -89.759863",19271
"35.057458, -89.68604",22808
"35.324527, -89.903876",11409
"35.111695, -89.945873",25518
"35.07277, -89.917884",11682
"35.063851, -90.006985",31616
"35.238476, -89.837773",15314
"35.045826, -89.67891",19526
"35.030381, -89.795808",38708
"35.209246, -89.914669",11240
"35.183873, -89.877536",22255
"35.154928, -89.944314",11200
"35.153522, -89.976647",11354
"35.138119, -89.961684",12143
"35.157422, -90.049093",17466
"35.155487, -90.034355",19994
"35.158228, -90.010475",13602
"35.154453, -90.012398",11344
"35.137887, -90.026572",37211
"35.138819, -90.045849",20910
"35.118127, -90.075967",17116
"35.11401, -90.055213",13032
"35.098684, -90.055631",20716
"35.059314, -90.024071",34018
"35.11, -89.990909",28823
"35.036957, -89.927075",14921
"35.002505, -90.007681",11143
"35.006403, -90.014622",15434
"35.014935, -90.025188",21210
"35.027491, -90.025189",27170
"35.006338, -90.050312",10872
"35.338153, -89.897729",10169
"35.130825, -89.856089",24896
"35.119134, -89.838434",28036
"35.2238, -89.83571",27604
"35.249467, -89.793346",11121
"35.054308, -89.812873",13334
"35.122908, -89.936459",21811
"35.123811, -89.894782",18971
"35.094298, -89.829546",17644
"35.062218, -89.8996",25975
"35.055473, -89.857315",19828
"35.034983, -89.880338",18302
"35.023643, -89.822255",11655
"35.041634, -89.845297",22731
"35.041428, -90.05623",10040
"35.309924, -89.849261",11002
"35.195721, -89.726374",19635
"35.308673, -89.703525",14143
"35.310598, -89.749192",11424
"35.307667, -89.796868",12438
"35.070292, -89.954435",21251
"35.060743, -89.793239",22853
"35.142537, -89.78647",13036
"35.173726, -89.788331",20394
"35.190986, -89.814749",37081
"35.194891, -89.827007",14040
"35.323808, -89.807098",11159
"35.196739, -90.004713",12149
"35.157753, -89.859629",12654
"35.172246, -89.855043",10844
"35.170451, -89.836685",25208
"35.217298, -89.854698",15338
"35.010665, -89.848652",17370
"35.032201, -89.86637",22863
"35.030442, -89.884081",15192
"35.054494, -89.933748",24350
"35.065031, -89.937907",10081
"35.103702, -89.863417",10452
"35.148966, -90.046374",12806
"35.157186, -90.048201",15408
"35.07523, -89.79539",15590
"35.089559, -89.81154",15776
"35.095219, -89.810532",23416
"35.094219, -89.802191",10335
"35.095526, -89.798789",15087
"35.26821, -89.678682",16025
"35.180116, -89.85769",12609
"35.028697, -89.682563",26373
"35.204304, -89.783358",34012
"35.048344, -89.732579",24925
"35.070097, -89.857566",21373
"35.07686, -89.941522",11964
"35.107642, -89.889469",16822
"35.043268, -90.065669",27664
"35.095232, -89.779651",19765
"35.041006, -89.713752",18594
"35.221114, -89.966291",15323
"35.012162, -89.864533",16481
"35.058184, -89.826598",12053
"35.148076, -89.979176",34588
"35.157901, -89.792721",13894
"35.158267, -89.797121",17603
"35.176544, -89.77045",10509
"35.214941, -89.825702",21039
"35.211298, -89.814701",17609
"35.15784, -89.767817",17502
"35.160199, -89.731857",10744
"35.026142, -89.936912",30865
"35.025471, -89.904604",12483
"35.003634, -89.830903",31045
"35.024225, -89.759572",24928
"35.064286, -89.759564",15322
"35.069943, -89.759371",16172
"35.04715, -89.823612",14204
"35.05085, -89.843864",37775
"35.067966, -89.843251",18884
"35.041844, -89.795957",33339
"35.00584, -89.814812",11740
"35.029257, -89.689053",19852
"35.036344, -89.731251",13369
"35.049287, -89.835363",35483
"35.047938, -89.777135",27193
"35.047377, -89.753318",19071
"35.176743, -89.813681",26346
"35.207193, -89.840635",29693
"35.129297, -89.983849",36251
"35.312828, -89.87891",14927
"35.241988, -89.837633",13347
"35.108343, -90.033052",11184
"35.109638, -90.026505",12131
"35.095283, -89.727777",11008
"35.072354, -90.090092",10188
"35.174549, -89.774871",14543
"35.112712, -89.799955",22848
"35.166073, -89.757026",13229
"35.169351, -89.814504",23126
"35.225282, -89.656641",17245
"35.203686, -89.653064",18259
"35.272554, -89.645083",39669
"35.026837, -89.649905",18961
"35.253813, -89.675229",19585
"35.126875, -90.066911",13608
"35.095257, -89.737063",19878
"35.128789, -89.779583",30177
"35.271269, -89.662184",14466
"35.006878, -89.644073",20000
"35.018109, -89.643732",20000
"36.178408, -85.961445",36574
"36.189514, -85.952417",11480
"36.241009, -85.943943",10117
"36.139555, -85.803804",32556
"36.575353, -82.342641",11120
"36.590749, -82.514458",10171
"36.570073, -82.566061",17110
"36.594188, -82.572183",24980
"36.550869, -82.593325",12887
"36.509497, -82.561177",12190
"36.533598, -82.551243",18443
"36.5244, -82.519254",19100
"36.529854, -82.503911",17326
"36.54017, -82.331649",17966
"36.422998, -82.253983",10117
"36.445246, -82.459642",10708
"36.506158, -82.552169",25501
"36.545865, -82.513449",32407
"36.559655, -82.559035",32099
"36.589273, -82.270137",11472
"36.554644, -82.613202",30439
"36.593295, -82.21702",19530
"36.595524, -82.202538",14489
"36.517461, -82.524688",26428
"36.559994, -82.210985",18617
"36.519833, -82.515288",25664
"36.539435, -82.505763",29985
"36.514674, -82.519338",31152
"36.543332, -82.519467",23036
"36.534684, -82.529724",12542
"36.551293, -82.56637",16559
"36.528239, -82.556142",16532
"36.499492, -82.566319",13399
"36.5571, -82.539207",27461
"36.545061, -82.506033",27843
"36.553347, -82.57429",12133
"36.550483, -82.590132",13558
"36.540713, -82.539521",17715
"36.511948, -82.535252",26004
"36.591719, -82.238309",14756
"36.541463, -82.233727",21872
"36.584701, -82.185622",23697
"36.477229, -82.491406",25830
"36.565174, -82.304615",36530
"36.538263, -82.357928",38602
"36.559177, -82.570488",29505
"36.498174, -82.455368",39937
"36.519387, -82.404893",37806
"36.458984, -82.2854",23460
"36.491246, -82.270517",22094
"36.560305, -82.503756",17388
"36.521377, -82.2592",17403
"36.573333, -82.581469",11920
"36.52964, -82.580078",28645
"36.411354, -82.334036",22000
"36.471002, -82.484527",14644
"36.511364, -82.275085",18095
