place_id,name
ChIJ2aAts8Zp9IgRfb9-DSMCppg,10 Federal Self Storage - 679 England Chapel Rd
ChIJbYIIUj1A9IgRe76dR28qYXw,Full Basement Self Storage
ChIJX-9MdkEF5YgRUck3FNXBDMc,Mini Warehouses
ChIJiUFKx_YP5YgROogT4kHNtkg,Kingsland Self Storage
ChIJtVlYRUcF5YgRv9N-uGu2zCE,Hippo Storage and Moving - West
ChIJiUAE_98E5YgRPCaQl0zcq5k,Simply Self Storage
ChIJnaFsCiAF5YgRDU4gqqkWIvA,iStorage Self Storage
ChIJF-LV-I0E5YgRfhe76DTbrHw,Mariners Self-Storage
ChIJX2K_H4YE5YgRR7avVU_r-l8,Hippo Storage
ChIJx_J8alwD5YgRjs_k1OPr8vI,Freedom Self Storage
ChIJcQxS7lMC5YgR1I2jvziq_LI,Hammock Transfer & Storage Inc
ChIJC9m1dRUD5YgR257p54E1W70,American Storage
ChIJqf5O-AMvi4gR1fhXqah7TSM,Able Self Storage
ChIJL6xsPqcvi4gR33OxCEJgxr4,Newnan Self Storage LLC
ChIJ_aO-WWcvi4gRmsDVmq5WNVI,Best Value Self Storage
ChIJG9FsDFMmi4gRfQnOI0Lcsqg,West Georgia Mini Warehouses
ChIJC8sMR8jZiogRSU7Va-ayF5U,NHE Storage
ChIJVS280d3ViogRPA7cFLsUjlM,ASAP Self Storage & Climate
ChIJw3-X2x7ViogR_sK1wCFLd3Q,Value Vault Storage
ChIJbVtnEDQr9YgRjiR0qTlInQY,ASAP Self Storage
ChIJtSDVavAq9YgRoOvfNbaTBdM,"Southeast Storage, Villa Rica"
ChIJM6IPVrAqi4gRPuUl5L9WkDg,Storage Xxtra
ChIJ24Sl-LAqi4gRzorm_bElz5I,Office Suites at Storage Xxtra
ChIJRXJNKP_ViogRmjtDPIWhbOQ,G & G Mini Warehouses
ChIJYShDVwQji4gRN4HQkTCIyNw,U-store-it Mini Storage
ChIJYZ0VgCQji4gRAZ_hvpz7lF4,Bowdon's Best Storage
ChIJv32oJowri4gRkPWKmXEu6nc,Temperature Control Storage
ChIJkwaUK99pYIgRaYkxJLX5R8I,Battlefield Crossing Mini Storage
ChIJo7yySYpnYIgRef0nWpQXPSo,Simple Storage
ChIJae-EVGJdYIgRkocQtt4wPeE,Ideal Storage & Rentals
ChIJgaPagdJnYIgRfwhyVWs98Cs,Pack Rat Self Storage
ChIJTR6F8M9nYIgRQiOnDcjIwsE,24 Hour Self Storage - Battlefield
ChIJJ7Kfc3BdYIgRYoe97lCG-f0,Lookout Self Storage
ChIJH3uqG_dnYIgRMEAiw-mhZWc,Lookout Self Storage
ChIJy2HM7RNnYIgRwBMQ-N5yx-E,FreeUp Storage Fort Oglethorpe
ChIJg96Ay51oYIgRPoMIVLhnYOQ,Ben's Storage
ChIJy9k_G6NoYIgR09Jw7Bupn0k,MedSTAT Mini Storage
ChIJxaCiPj1mYIgR3j_zGYDee2A,Cloud Springs Storage
ChIJoyUrI0VvYIgR1xrywxMnkko,Premier Mini Storage
ChIJu495yRRvYIgR8i9eYgi8t2E,Silvers Storage / SSD Storage LLC
ChIJXS3K7ElvYIgRq0awf2n8RpU,Storex Self Storage
ChIJv-rKGDpnYIgRqTSXg2F8uX8,Northwest Mountain Self Storage and Warehouses
ChIJDZgnCrFlYIgRwmMO8Tb_nH0,RINGGOLD STORAGE SPACECENTER
ChIJWZWAgmNmYIgRBsoy55PCwcg,A S A P Climate Control Storage
ChIJa_2QD9ZlYIgRVlAH33xygVY,Ringgold Storage
ChIJHUOO6tRnYIgR7shCXcxsGDU,North Georgia Climate Storage
ChIJBf40ZkNmYIgRzSkDLT3DqH4,Mack Smith Mini Storage
ChIJOfFtTzpmYIgR69SxN25bJhY,Lookout Self Storage
ChIJcTO614af-4gRjOxkTBgF2bA,Storage Depot of Savannah
ChIJLc_VEQ-m-4gR-ABb4PNDAeU,SecurCare Self Storage
ChIJPW6knlKh-4gRHSJiH-rPUk8,Go Store It Self Storage
ChIJbeVVs-ej-4gRiM-GzmIQ3Lk,UNITS Mobile Storage
ChIJY9a7GBmh-4gRZVO9EWxEYDI,SecurCare Self Storage
ChIJyRWIwhGh-4gRRmZ89qDkTu4,Gulf States Cold Storage
ChIJ9ambBzSh-4gRReoKCY9GMkg,Choose Mini Storage
ChIJN-V-bamn-4gRK1yauVCOttI,SecurCare Self Storage
ChIJyUbcaVOg-4gR1_gvUAs4QL8,Quick Lock Mini Storage
ChIJgY60Czav-4gRArdAQVtuFks,Choose Mini Storage
ChIJgRvL7OEJ-4gR21xuKLDIo-4,Preserve Self Storage
ChIJc7lIFzchYIgRP0Hc9jUp7Jc,Chattooga Self Storage
ChIJx44acJ1v9YgRpmvDFkHo7ek,Prime Storage
ChIJ4fGM8CJv9YgRyW2BMlkG-4Y,Stuff'N Storage
ChIJ0-IUug5v9YgRq4SZPGa85PE,Hickory Road Self Storage
ChIJz_l4UD1v9YgRtaATkwjKYVI,Premier Plus Storage
ChIJGYL90vNl9YgRpXSBi65V_9E,Stacy's Self Storage
ChIJyzf0ONpv9YgRHJLmdrZ4DFE,Tri City Storage
ChIJN5ZbBPJl9YgRBVyfCX-jDXA,U-Haul Moving & Storage of Canton
ChIJbUwHluRl9YgRvCzwvnu1Er0,Canton Area Self Storage
ChIJAeRoCyFm9YgRuvjL8j0G82Q,Knox Bridge RV Storage
ChIJdaazJ4Bn9YgReR2H-ArMr2M,L&B Moving and Storage llc
ChIJKXZ7Ac579YgRCyEp6XqqKQI,Cherokee Storage
ChIJu0dnkFh49YgRPhzyJdOlqHc,Free Home Storage
ChIJuQqtnImC9YgRklgtGfjFwfM,West Forsyth Storage
ChIJHR4QBbhB9YgR2Hb4TD5IZP4,Prime Storage
ChIJzeDP9I1B9YgRxoh_ovRkDcI,Acworth Lake Storage
ChIJ8Q3G9Nxr9YgRTApnWE6uuK4,Prime Storage
ChIJY0n-JR5w9YgRlVSucCq63LM,Bennie's Mini Warehouses
ChIJ9y2NUuNv9YgRsFwrRCjWmiU,J & N Storage
ChIJGbR5vQ1x9YgRy5j4lAeoANs,U-Haul Moving & Storage of Hickory Flat
ChIJ0cUOvsJp9YgRe0T81WRZpxo,Mini Max Storage
ChIJfQ7hOsFp9YgR5kwEAqGvBPQ,Allatoona Boat & RV Storage
ChIJQ9gyL1Nq9YgR8XfxLlnUfls,Dixie Mini Warehouse LLC
ChIJQQ-Aiq9p9YgRg-r2TVKWV_A,Self Storage
ChIJgVcyd_py9ogRR36YOTkWp9k,On the Way Storage
ChIJrwMY6ghz9ogRFXpJp11IIng,Boulevard Storage
ChIJJXAN8P1y9ogRmlr_1gb3K1c,Extra Space Storage
ChIJt6hwHgZz9ogRipjArbTtiZI,StorageMart
ChIJFaaeY3V09ogRbjZUYKXCweQ,Oconee Storage Westside
ChIJEQNSpDUT9ogRdorodo7_Tus,U-Haul Moving & Storage of North Downtown Athens
ChIJA9XmT0UT9ogRfEdxvLNhcq0,StorageMart
ChIJfedt_msT9ogRvbDD0nn8Z5A,Athens Lock Storage
ChIJv6b7OGAT9ogR3lulXy4hqIc,Crazy Ray's Self Storage
ChIJ4xDYbLFz9ogRlVVxqoL18_g,StayLock Storage
ChIJQ-k4Oc9t9ogRCcj-V02xo8M,Fort Knox Storage Units - Bells
ChIJdTgoHW1t9ogRejtMZRwuerA,On The Way Mini Storage
ChIJlYs78SkT9ogRiayso_aPU7Y,StayLock Storage
ChIJhWwAvZ5s9ogRJj3BhOOUj1E,Top Dog Storage
ChIJJcw16GRr9ogRomS4oZq4dRU,Extra Storage
ChIJ2dUexT1t9ogRRDO1C3pMEcg,Five Points Storage
ChIJxzzwLUlr9ogRTGBZkWgEqCI,Athens Self Storage
ChIJNYtWSHps9ogRz13wvL0Mux8,Barnett Shoals Mini Warehouses
ChIJP-EZ0Opt9ogRWACXWUo9Uy4,Safe & Sound Mini Storage
ChIJXw9EP5sN9ogR1e2Dc8_oTyQ,StayLock Storage
ChIJw3t_JjZy9ogRdMMNmz5OcKY,Epps Bridge Storage
ChIJhysH1Ez_9IgRbnw4XFXUZZE,A-1 Mini Storage
ChIJN5JDGCJW9IgRZp4SxSn5QBk,SecurCare Self Storage
ChIJu5z4DEH39IgR5MjmDlIBvGg,Bonanza Rentals and Storage
ChIJ7c9q_WD_9IgR7b6hrpv7cSQ,iStorage Rex
ChIJb0Kqrv_49IgRyIvW-S11Ack,United Steel Storage Inc
ChIJpTmngvr49IgRJ-DxomaiW18,Apex Self Storage
ChIJk8nB2tn99IgRckoClGqCPEU,U-Haul Moving & Storage of Forest Park
ChIJ75Yxrsb79IgRBrNkxGDbqYc,Storage
ChIJwxizWJP99IgR1J97yZU28xI,Collins Cold Storage
ChIJt9ReKlr99IgRN-fSZFtG8Og,U-Haul Moving & Storage of College Park at Riverdale Rd
ChIJue3CZitH9YgR6qq3XgrBkAU,Lee's Lakeside Storage
